iter	RMSE
0	59.37154175
1	56.70195793
2	54.14981829
3	51.76902557
4	49.49337061
5	47.30419865
6	45.21565603
7	43.22381544
8	41.33189501
9	39.52446527
10	37.79827287
11	36.19084775
12	34.70858461
13	33.19817062
14	31.79711443
15	30.48598076
16	29.25018928
17	28.03209734
18	26.87526744
19	25.802236
20	24.76089892
21	23.77667065
22	22.8172942
23	21.91097526
24	21.05766439
25	20.2515488
26	19.45208555
27	18.7304457
28	18.01171695
29	17.35111053
30	16.71710935
31	16.11050213
32	15.54331906
33	14.99083971
34	14.46495475
35	13.98154499
36	13.53169547
37	13.08358322
38	12.65195944
39	12.23946195
40	11.86009506
41	11.49017281
42	11.1397284
43	10.80562631
44	10.47596475
45	10.17264259
46	9.889392375
47	9.621129088
48	9.368481205
49	9.117435782
50	8.88745633
51	8.666004248
52	8.45619547
53	8.260762883
54	8.062581464
55	7.881813706
56	7.710207269
57	7.543522632
58	7.387485498
59	7.242768384
60	7.096878566
61	6.969165378
62	6.844349734
63	6.722799762
64	6.606419611
65	6.503407825
66	6.401621158
67	6.308914546
68	6.21792749
69	6.131606375
70	6.056107982
71	5.981469917
72	5.908499984
73	5.845564688
74	5.782730687
75	5.71220366
76	5.653213082
77	5.59784736
78	5.550198293
79	5.497604145
80	5.44669859
81	5.396804929
82	5.355909387
83	5.316242722
84	5.277840885
85	5.243148392
86	5.20283495
87	5.166768888
88	5.125166212
89	5.08822373
90	5.055555382
91	5.024627422
92	4.994477067
93	4.969747401
94	4.939938221
95	4.912105061
96	4.888291451
97	4.864872563
98	4.844514676
99	4.820484096
100	4.801359922
101	4.785125553
102	4.769724972
103	4.753581483
104	4.737789345
105	4.716260881
106	4.697388301
107	4.678613283
108	4.66390515
109	4.650940977
110	4.638865099
111	4.626702294
112	4.614547633
113	4.598429085
114	4.583537704
115	4.570791296
116	4.560066938
117	4.548130204
118	4.5384069
119	4.528426428
120	4.520067783
121	4.505899166
122	4.496888237
123	4.484872414
124	4.473134787
125	4.462359038
126	4.451370442
127	4.442216228
128	4.432524372
129	4.424631106
130	4.415268191
131	4.406120058
132	4.396820378
133	4.38538996
134	4.374073729
135	4.366695939
136	4.356632316
137	4.350537449
138	4.34374309
139	4.33357995
140	4.325217843
141	4.317303615
142	4.31070014
143	4.305871252
144	4.301132466
145	4.294054248
146	4.286557581
147	4.279400724
148	4.271775592
149	4.266128965
150	4.258407382
151	4.250506711
152	4.243351498
153	4.23647856
154	4.230999333
155	4.224973131
156	4.219733356
157	4.21183495
158	4.205451484
159	4.197400701
160	4.190731369
161	4.183590315
162	4.179557016
163	4.17362194
164	4.168841408
165	4.16264471
166	4.152623609
167	4.145356099
168	4.139612689
169	4.135882331
170	4.13030568
171	4.122503916
172	4.118021843
173	4.112456872
174	4.104643088
175	4.098007093
176	4.093070589
177	4.087820096
178	4.083809149
179	4.077906432
180	4.071151081
181	4.066930563
182	4.059880706
183	4.055258199
184	4.049661019
185	4.04322217
186	4.039880892
187	4.033936445
188	4.030256291
189	4.024351423
190	4.02156869
191	4.011794326
192	4.004771406
193	4.001316386
194	3.997503459
195	3.99062956
196	3.985024708
197	3.978024118
198	3.97345857
199	3.967963163
200	3.963311942
201	3.959100636
202	3.955681483
203	3.952997094
204	3.946642817
205	3.940182977
206	3.93109403
207	3.926144986
208	3.91765702
209	3.910718087
210	3.904922681
211	3.901039343
212	3.89806505
213	3.892624031
214	3.889103381
215	3.885300571
216	3.876486425
217	3.873079668
218	3.866818473
219	3.857700052
220	3.852280477
221	3.847262993
222	3.845007211
223	3.841098356
224	3.836326921
225	3.83318253
226	3.830215399
227	3.825547931
228	3.819911211
229	3.814186591
230	3.805606615
231	3.802634554
232	3.794716078
233	3.790762167
234	3.787749707
235	3.784555304
236	3.780269467
237	3.774473871
238	3.771657703
239	3.76911222
240	3.764556629
241	3.75780736
242	3.752598261
243	3.750288274
244	3.747132592
245	3.743660537
246	3.738906843
247	3.732339098
248	3.730238433
249	3.725631367
250	3.717590614
251	3.710605375
252	3.70737812
253	3.703906378
254	3.701001638
255	3.697910668
256	3.69403582
257	3.69157881
258	3.687739096
259	3.683760059
260	3.678735684
261	3.675765327
262	3.672224971
263	3.669347795
264	3.662661531
265	3.659509806
266	3.657955808
267	3.65487595
268	3.651853717
269	3.649869054
270	3.64669783
271	3.645181503
272	3.642182761
273	3.636717101
274	3.633333334
275	3.628923795
276	3.626302131
277	3.623551012
278	3.619953852
279	3.61554589
280	3.609158308
281	3.60644228
282	3.601645076
283	3.595698208
284	3.591729961
