User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,Environmental_Temperature,BMR
14733363,male,68,190.0,94.0,29.0,105.0,40.8,231.0,23.9,1610.991
14861698,female,20,166.0,60.0,14.0,94.0,40.3,66.0,11.11,1430.0810000000001
11179863,male,69,179.0,79.0,5.0,88.0,38.7,26.0,42.71,1433.8780000000002
16180408,female,34,179.0,71.0,13.0,100.0,40.5,71.0,30.7,1511.452
17771927,female,27,154.0,58.0,10.0,81.0,39.8,35.0,42.71,1344.1009999999999
15130815,female,36,151.0,50.0,23.0,96.0,40.7,123.0,37.93,1221.8609999999999
19602372,female,33,158.0,56.0,22.0,95.0,40.5,112.0,21.34,1312.0189999999998
11117088,male,41,175.0,85.0,25.0,100.0,40.7,143.0,23.9,1598.2079999999999
12132339,male,60,186.0,94.0,21.0,97.0,40.4,134.0,11.25,1633.2389999999998
17964668,female,26,146.0,51.0,16.0,90.0,40.2,72.0,28.22,1258.9180000000001
13723164,female,36,177.0,76.0,1.0,74.0,37.8,3.0,42.71,1542.8310000000001
13681290,female,21,157.0,56.0,17.0,100.0,40.0,92.0,10.98,1360.8809999999999
15566424,male,66,171.0,79.0,11.0,90.0,40.0,58.0,19.08,1422.084
12891699,female,32,157.0,54.0,18.0,93.0,40.4,88.0,0.19,1294.757
13823829,male,53,182.0,85.0,2.0,82.0,38.1,7.0,42.71,1567.934
17557348,female,39,156.0,62.0,28.0,104.0,40.8,170.0,23.9,1335.3249999999998
12198133,male,39,182.0,82.0,4.0,82.0,38.6,11.0,42.71,1600.813
15236104,male,46,169.0,67.0,11.0,89.0,40.2,43.0,37.98,1391.5240000000001
11042324,female,27,171.0,65.0,4.0,85.0,38.6,15.0,42.71,1461.4959999999999
16864285,male,50,188.0,86.0,14.0,94.0,40.2,74.0,-7.39,1608.759
11674347,male,67,189.0,93.0,8.0,77.0,39.2,29.0,42.71,1602.976
19797300,female,31,148.0,50.0,8.0,84.0,39.5,32.0,42.71,1234.2169999999999
14711095,female,33,157.0,60.0,3.0,80.0,38.7,10.0,42.71,1345.9089999999999
14434854,female,20,165.0,59.0,29.0,100.0,41.0,155.0,23.9,1417.7359999999999
14893804,male,48,182.0,85.0,1.0,80.0,37.7,3.0,42.71,1589.584
17231597,male,29,176.0,75.0,10.0,83.0,39.7,24.0,42.71,1560.796
10901446,male,33,173.0,73.0,7.0,78.0,39.3,12.0,42.71,1515.6879999999999
