User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,Environmental_Temperature
14733363,male,68,190.0,94.0,29.0,105.0,40.8,231.0,16.296300259171186
14861698,female,20,166.0,60.0,14.0,94.0,40.3,66.0,11.114735591795204
11179863,male,69,179.0,79.0,5.0,88.0,38.7,26.0,25.639647362692365
16180408,female,34,179.0,71.0,13.0,100.0,40.5,71.0,30.69613858031066
17771927,female,27,154.0,58.0,10.0,81.0,39.8,35.0,-5.572413407625079
15130815,female,36,151.0,50.0,23.0,96.0,40.7,123.0,37.92508051310694
19602372,female,33,158.0,56.0,22.0,95.0,40.5,112.0,21.336537009506717
11117088,male,41,175.0,85.0,25.0,100.0,40.7,143.0,-2.780307591395184
12132339,male,60,186.0,94.0,21.0,97.0,40.4,134.0,11.245630825990975
17964668,female,26,146.0,51.0,16.0,90.0,40.2,72.0,28.22483268349626
13723164,female,36,177.0,76.0,1.0,74.0,37.8,3.0,-0.8928958395513682
13681290,female,21,157.0,56.0,17.0,100.0,40.0,92.0,10.981635645066614
15566424,male,66,171.0,79.0,11.0,90.0,40.0,58.0,19.07881386333404
12891699,female,32,157.0,54.0,18.0,93.0,40.4,88.0,0.1925268131511206
13823829,male,53,182.0,85.0,2.0,82.0,38.1,7.0,26.91981678141427
17557348,female,39,156.0,62.0,28.0,104.0,40.8,170.0,-6.827565288446377
12198133,male,39,182.0,82.0,4.0,82.0,38.6,11.0,16.52546205240195
15236104,male,46,169.0,67.0,11.0,89.0,40.2,43.0,37.9759383506538
11042324,female,27,171.0,65.0,4.0,85.0,38.6,15.0,12.709993456918053
16864285,male,50,188.0,86.0,14.0,94.0,40.2,74.0,-7.390733721759426
11674347,male,67,189.0,93.0,8.0,77.0,39.2,29.0,3.012631131088659
19797300,female,31,148.0,50.0,8.0,84.0,39.5,32.0,6.148464064996233
14711095,female,33,157.0,60.0,3.0,80.0,38.7,10.0,-4.475785276570351
14434854,female,20,165.0,59.0,29.0,100.0,41.0,155.0,0.0578885374157209
14893804,male,48,182.0,85.0,1.0,80.0,37.7,3.0,-4.625543220087593
17231597,male,29,176.0,75.0,10.0,83.0,39.7,24.0,15.90635562041761
10901446,male,33,173.0,73.0,7.0,78.0,39.3,12.0,23.35069110486993
15874362,male,42,190.0,88.0,3.0,83.0,38.9,10.0,-6.349009951272485
15569252,female,62,159.0,59.0,29.0,106.0,41.2,195.0,3.3097136621886385
15615743,male,38,171.0,75.0,2.0,81.0,38.2,5.0,-9.86461344249432
13363046,male,20,183.0,88.0,16.0,97.0,40.5,69.0,21.49598812685053
17572853,female,25,160.0,59.0,24.0,102.0,40.3,136.0,-0.9541763179791508
17157339,female,24,165.0,59.0,18.0,91.0,40.2,80.0,2.409843531894394
18328111,female,42,165.0,68.0,22.0,93.0,40.8,107.0,21.70357946628119
19303479,male,22,182.0,84.0,29.0,114.0,41.0,200.0,29.55007527899421
10699201,female,74,158.0,59.0,10.0,93.0,39.6,56.0,-7.983293616899031
15283313,female,70,154.0,59.0,10.0,88.0,40.0,50.0,24.04813688218958
16324247,female,26,182.0,80.0,21.0,96.0,40.5,100.0,-6.747058963108612
14277710,male,44,184.0,86.0,25.0,114.0,40.8,200.0,25.920759807984872
10888188,male,61,183.0,86.0,1.0,81.0,38.3,4.0,7.255993046311048
13379795,female,68,157.0,57.0,13.0,92.0,40.1,70.0,37.86887787896635
17181524,female,61,176.0,70.0,20.0,104.0,40.5,127.0,0.2394984153097787
15988442,male,63,179.0,80.0,25.0,108.0,40.8,197.0,29.62784415288396
19538533,female,54,171.0,66.0,20.0,98.0,40.1,113.0,5.326789852648599
14591877,female,54,169.0,66.0,3.0,80.0,38.9,11.0,8.706264133666657
14274480,female,47,155.0,55.0,16.0,93.0,40.5,82.0,1.8888721352550528
16818429,male,33,184.0,86.0,8.0,86.0,39.9,26.0,23.60555113704628
17476522,female,24,171.0,66.0,24.0,105.0,40.6,141.0,38.22404494140023
16369885,male,24,195.0,98.0,20.0,96.0,40.6,92.0,8.707152737856408
17816292,male,48,152.0,59.0,2.0,79.0,38.0,5.0,15.326610597015373
15995398,male,35,193.0,93.0,10.0,83.0,39.7,30.0,4.145073023913813
17615432,male,21,168.0,71.0,3.0,78.0,38.5,3.0,8.215039715851251
10146087,female,21,179.0,73.0,9.0,90.0,39.6,37.0,-9.27977581005853
17967445,female,22,158.0,62.0,25.0,105.0,40.6,147.0,-5.112794800890449
19670291,female,69,174.0,69.0,2.0,80.0,38.1,8.0,27.095789111800173
10580576,male,53,191.0,101.0,21.0,106.0,40.7,159.0,8.222591306100789
15854213,female,68,155.0,58.0,15.0,100.0,40.3,93.0,21.333106911597667
11138472,female,69,164.0,65.0,23.0,113.0,40.4,173.0,12.003507167933478
18276801,male,28,198.0,101.0,19.0,95.0,40.6,89.0,0.5754447657784194
13823902,male,70,188.0,89.0,7.0,82.0,39.3,31.0,7.693352977693994
19222133,female,36,170.0,64.0,9.0,84.0,39.6,35.0,18.86651002814605
13231909,female,77,177.0,80.0,16.0,98.0,40.6,94.0,29.777863693469733
12726617,female,32,167.0,63.0,9.0,99.0,39.7,49.0,11.639314728452302
12538968,female,62,185.0,77.0,13.0,84.0,40.4,54.0,13.01694005453608
10941668,female,64,151.0,56.0,20.0,97.0,40.4,117.0,26.753663946580403
12628985,male,45,175.0,79.0,27.0,104.0,40.6,173.0,9.882243833197895
17691320,male,45,158.0,61.0,20.0,97.0,40.7,99.0,29.79776429797628
17822027,female,22,177.0,71.0,10.0,93.0,39.8,45.0,39.81265708486656
13777657,male,45,169.0,69.0,22.0,113.0,40.6,166.0,2.2201418777596995
19423359,female,66,174.0,69.0,28.0,111.0,40.9,202.0,18.581449113377012
14701930,male,31,182.0,83.0,20.0,101.0,40.9,107.0,34.658413633068314
11513205,female,57,163.0,68.0,29.0,109.0,40.7,199.0,-1.0011620803764243
11842710,male,53,192.0,93.0,5.0,90.0,39.1,25.0,12.556862343863068
12576313,female,22,179.0,67.0,8.0,77.0,39.5,23.0,14.621803076433572
12367125,male,67,192.0,92.0,24.0,108.0,40.7,200.0,36.84748937069248
16913504,female,27,168.0,64.0,2.0,76.0,38.2,6.0,12.467638883926108
19439155,male,57,178.0,83.0,2.0,79.0,38.1,7.0,-6.002792552395277
16137644,female,49,168.0,68.0,20.0,99.0,40.6,113.0,18.828812830057743
11622081,female,39,168.0,63.0,29.0,108.0,40.7,188.0,33.664886896616004
17374074,male,47,165.0,72.0,20.0,96.0,40.3,103.0,20.64628439190552
19096890,male,62,197.0,101.0,17.0,103.0,40.3,128.0,38.14030498425208
19628507,male,41,187.0,89.0,23.0,99.0,40.7,130.0,19.450790383164332
16918679,female,34,144.0,50.0,7.0,83.0,39.3,27.0,0.8937587475860749
11194130,female,40,163.0,62.0,27.0,111.0,41.2,185.0,18.187050122404163
18863486,female,55,155.0,57.0,11.0,92.0,39.8,57.0,16.864875427555862
11754581,male,44,189.0,88.0,13.0,94.0,40.0,65.0,29.12436768888888
15161631,female,45,160.0,60.0,16.0,99.0,40.4,91.0,34.00575310287754
18735761,female,49,164.0,64.0,19.0,105.0,40.4,120.0,-6.290329488106824
15878611,female,46,166.0,68.0,12.0,101.0,40.1,70.0,13.337748352273184
19249559,male,25,202.0,100.0,9.0,94.0,39.8,39.0,-1.5201858646818405
15469030,male,68,171.0,80.0,22.0,95.0,40.5,136.0,-4.26223079757392
11157560,female,25,169.0,64.0,14.0,101.0,40.2,77.0,15.60775891805606
19576971,female,31,174.0,67.0,9.0,93.0,39.5,42.0,24.048543470479693
15048071,male,57,184.0,91.0,7.0,95.0,39.2,41.0,-8.888426271951053
18707469,female,27,159.0,59.0,14.0,88.0,39.9,59.0,13.57683947057696
12598637,male,40,201.0,98.0,24.0,110.0,40.7,179.0,8.474962385417154
14342169,female,57,171.0,74.0,2.0,73.0,38.6,6.0,39.235416532934025
19208771,female,23,155.0,62.0,5.0,74.0,39.2,13.0,22.19225667839339
11790318,male,23,189.0,87.0,23.0,110.0,40.0,147.0,29.705108969259463
11756583,male,43,183.0,88.0,26.0,107.0,40.7,180.0,-4.596950929628737
16417986,male,74,201.0,107.0,14.0,96.0,40.1,101.0,5.32594740494636
13065142,female,45,158.0,53.0,23.0,106.0,40.7,150.0,31.279214146016
10481882,female,31,165.0,60.0,25.0,115.0,40.8,179.0,1.9374268859092467
19521409,male,21,195.0,93.0,6.0,93.0,39.2,23.0,3.236796976736059
15862346,male,50,190.0,96.0,3.0,80.0,38.3,10.0,39.91299706779875
12234447,male,39,175.0,74.0,9.0,93.0,39.5,39.0,13.871567193266458
14624633,male,57,169.0,81.0,30.0,112.0,40.9,247.0,-0.7545037768648477
17074274,female,26,159.0,53.0,19.0,92.0,40.5,89.0,-1.9334992162728284
17636190,male,34,181.0,83.0,25.0,102.0,40.9,141.0,29.474401180807902
14345479,female,55,160.0,62.0,4.0,87.0,39.1,18.0,29.34929993082742
11772472,female,52,171.0,67.0,15.0,89.0,40.6,70.0,21.29903377289884
19087162,male,21,188.0,90.0,29.0,110.0,40.8,185.0,20.44264137571479
15875055,female,20,136.0,45.0,11.0,94.0,40.1,54.0,34.404530032181164
10939512,female,79,152.0,60.0,29.0,107.0,40.8,207.0,1.449310381667221
13616455,male,21,189.0,91.0,27.0,114.0,41.0,189.0,-0.5046937497630051
19118405,male,50,171.0,74.0,2.0,82.0,38.1,6.0,-2.4856316523107127
10503799,female,29,180.0,76.0,12.0,97.0,39.9,60.0,13.476982779434852
16572590,male,22,194.0,92.0,6.0,92.0,39.0,23.0,24.233307230288297
17336010,female,28,158.0,60.0,27.0,113.0,40.8,186.0,5.319831610227524
15483091,male,38,188.0,93.0,28.0,104.0,40.9,178.0,29.80133312814715
10006441,male,23,169.0,73.0,25.0,102.0,40.7,122.0,-2.1554840107173643
13075455,female,68,159.0,68.0,24.0,108.0,40.5,166.0,-5.026488588366314
17564519,male,79,176.0,86.0,20.0,102.0,40.1,158.0,26.79487597689637
18789619,female,35,182.0,70.0,2.0,83.0,38.4,7.0,4.829090034156756
15444304,male,67,201.0,96.0,18.0,105.0,40.5,143.0,-2.8603264291424813
13122354,female,21,156.0,52.0,12.0,82.0,39.8,43.0,8.342919470187724
10692173,female,44,143.0,49.0,17.0,92.0,40.2,86.0,-4.152494173885287
12890276,female,43,175.0,72.0,23.0,100.0,40.7,128.0,-0.8464847054114291
14339451,male,21,186.0,79.0,29.0,111.0,41.0,182.0,33.42264609068561
16626118,female,32,170.0,70.0,10.0,98.0,39.7,52.0,6.162717156315416
17268858,male,79,179.0,91.0,27.0,107.0,40.4,236.0,37.7261336120727
13816658,male,51,192.0,96.0,19.0,97.0,40.6,114.0,37.68392410200895
14191617,female,60,174.0,67.0,11.0,99.0,39.7,64.0,15.487813242991734
13672975,male,49,184.0,86.0,26.0,103.0,40.8,171.0,-5.159956568330212
16361679,male,46,179.0,84.0,6.0,82.0,39.2,19.0,-3.390452665456025
17739883,female,35,149.0,54.0,21.0,111.0,40.5,144.0,35.74478726971732
19341462,male,31,172.0,76.0,9.0,94.0,39.7,37.0,-3.2845743116386403
14117537,male,42,185.0,78.0,26.0,110.0,41.4,185.0,17.342378865844008
12667831,female,66,174.0,69.0,13.0,87.0,39.8,60.0,0.6063066448117134
10661999,male,52,189.0,90.0,22.0,96.0,40.5,127.0,14.344147612777828
10366046,male,59,166.0,73.0,23.0,101.0,40.4,149.0,7.63794147758297
11523134,male,23,169.0,71.0,16.0,102.0,40.1,78.0,10.29753906377405
12275702,female,49,164.0,63.0,5.0,91.0,38.9,24.0,23.41831213143989
11190411,female,25,157.0,57.0,23.0,107.0,40.8,143.0,33.131535000040905
19686449,male,20,188.0,84.0,27.0,104.0,41.0,143.0,18.66603114764007
15565644,female,28,163.0,66.0,15.0,94.0,40.1,71.0,9.760080981635577
10154011,male,60,182.0,90.0,11.0,90.0,40.2,58.0,23.67099516214509
12676049,female,29,178.0,77.0,15.0,95.0,40.4,71.0,30.207999533166607
10228092,male,40,184.0,87.0,5.0,88.0,39.5,20.0,-5.890236228779924
18997284,male,26,191.0,93.0,17.0,96.0,40.3,78.0,7.204624298979898
10836250,female,26,176.0,76.0,19.0,97.0,40.4,93.0,27.274058816756195
15883541,male,25,158.0,58.0,6.0,90.0,39.2,17.0,13.614256864962533
16990389,female,60,190.0,87.0,3.0,84.0,38.9,12.0,33.79439960308722
17046329,male,25,181.0,81.0,23.0,101.0,40.8,115.0,-4.704209910493694
14136420,female,39,165.0,65.0,19.0,106.0,40.6,119.0,29.599156421764853
13138092,female,30,153.0,53.0,26.0,108.0,40.6,168.0,10.168986016224672
16655537,male,23,198.0,100.0,12.0,90.0,40.4,44.0,-3.874107301614607
16245184,female,37,148.0,51.0,29.0,108.0,40.6,192.0,27.79580790269188
19157340,female,22,147.0,47.0,17.0,101.0,40.3,96.0,-2.698886932744045
19810083,female,26,170.0,68.0,23.0,105.0,40.7,135.0,23.64004395016361
19821989,female,56,167.0,60.0,12.0,86.0,40.2,54.0,0.7418442505881728
17219988,male,43,171.0,79.0,30.0,115.0,40.8,239.0,30.06436165943861
19572798,female,38,169.0,65.0,14.0,94.0,40.1,69.0,7.189574844567897
18360844,male,24,179.0,80.0,14.0,90.0,40.7,46.0,-1.240445286877069
13918575,female,25,164.0,63.0,21.0,101.0,40.7,115.0,-8.153227293716306
15319150,female,31,163.0,62.0,4.0,88.0,39.1,17.0,35.155467595641404
16112624,female,54,151.0,57.0,25.0,115.0,40.4,190.0,21.20844055967652
11099585,female,34,190.0,91.0,12.0,89.0,40.2,48.0,-9.21736212149654
17300463,female,28,176.0,72.0,27.0,112.0,40.7,178.0,12.519205257160134
17118372,male,24,191.0,95.0,6.0,88.0,39.3,20.0,18.221198643588064
14435543,female,27,167.0,69.0,15.0,90.0,40.4,64.0,4.927833265047763
10908558,female,35,154.0,57.0,19.0,94.0,40.6,95.0,23.219379734536147
14181557,male,49,183.0,89.0,25.0,111.0,40.8,196.0,24.332173454572896
17152651,male,36,185.0,91.0,2.0,91.0,38.1,9.0,12.14735766373271
10192977,female,58,192.0,83.0,18.0,101.0,40.8,105.0,32.708723995981124
19584135,female,40,157.0,61.0,12.0,92.0,40.0,58.0,9.03581286290146
19445771,male,31,179.0,77.0,24.0,97.0,40.8,111.0,-4.004933809352259
11294536,male,50,182.0,86.0,17.0,101.0,40.3,108.0,15.49444778376374
12845462,male,36,202.0,109.0,6.0,87.0,39.1,24.0,28.451117674522926
10578158,female,34,163.0,61.0,13.0,96.0,40.1,67.0,7.798879536863982
19789364,female,78,153.0,54.0,13.0,84.0,40.3,62.0,16.498029302028076
12301038,male,41,178.0,76.0,28.0,104.0,40.8,172.0,0.4504311158811305
18976127,male,41,172.0,71.0,7.0,87.0,39.5,24.0,-1.7899924049560774
11460469,male,24,178.0,77.0,19.0,98.0,40.1,84.0,21.595840059605308
15238405,female,67,173.0,69.0,20.0,105.0,40.5,132.0,-0.1958795000543158
18559105,female,47,179.0,75.0,25.0,110.0,40.7,167.0,2.8953088986319067
12761860,female,42,154.0,52.0,17.0,101.0,40.6,101.0,38.13310281328583
12777201,female,25,180.0,75.0,23.0,97.0,40.6,113.0,38.887950102180376
11084582,male,25,179.0,78.0,17.0,101.0,40.3,84.0,5.554565114129593
11393152,female,58,165.0,68.0,6.0,88.0,39.4,28.0,25.517268281236788
12327773,male,68,191.0,98.0,22.0,99.0,41.0,157.0,-7.578563815971786
12038545,male,24,181.0,91.0,14.0,97.0,40.4,64.0,34.17494992049807
17593004,male,38,192.0,92.0,21.0,104.0,40.6,133.0,-6.837714895497784
11708341,female,26,164.0,59.0,23.0,108.0,40.5,145.0,19.110677724302843
10753818,male,64,178.0,83.0,24.0,103.0,41.0,174.0,25.903547833834992
10608177,female,49,174.0,75.0,7.0,93.0,39.2,34.0,-5.000897789080391
11267944,female,73,158.0,57.0,29.0,103.0,40.9,193.0,12.97488352311455
19795364,male,27,180.0,86.0,24.0,107.0,40.7,147.0,33.16868282493924
14290814,male,66,171.0,72.0,18.0,105.0,40.5,133.0,15.011540186453049
19222644,male,39,199.0,104.0,26.0,101.0,40.7,161.0,-7.511880968368947
12847212,female,30,168.0,62.0,6.0,76.0,39.4,18.0,35.263389457598166
11986136,male,76,187.0,96.0,12.0,96.0,40.1,85.0,7.562327242275138
11830053,male,60,193.0,90.0,15.0,95.0,40.0,90.0,36.35163903992009
14737350,male,54,188.0,90.0,23.0,108.0,40.9,176.0,-9.153258543028755
15294669,female,49,166.0,66.0,11.0,89.0,39.6,51.0,37.547836343603976
17146724,female,24,173.0,66.0,7.0,82.0,39.3,24.0,16.87686744336879
17490159,female,28,161.0,57.0,6.0,83.0,39.5,22.0,-9.643926231942835
15501381,male,72,197.0,102.0,25.0,106.0,40.9,212.0,-9.242488109920446
16736138,male,32,171.0,78.0,29.0,112.0,40.9,201.0,17.376138246881855
18493316,female,36,159.0,59.0,17.0,93.0,40.3,83.0,-3.198318776209538
17497515,male,65,204.0,103.0,14.0,93.0,40.1,87.0,29.16284372028594
14364172,female,36,163.0,67.0,27.0,97.0,40.7,141.0,24.331922187145462
14217831,female,32,159.0,63.0,23.0,103.0,40.3,134.0,12.794733992879962
10483147,male,42,180.0,84.0,2.0,80.0,38.6,5.0,29.34148672658955
18046507,male,34,191.0,94.0,29.0,109.0,40.9,201.0,37.45864582405463
12414011,male,34,181.0,78.0,3.0,86.0,38.2,9.0,34.29477065339418
10710546,male,26,191.0,86.0,8.0,83.0,39.3,20.0,28.824766653384003
16175343,male,31,203.0,105.0,29.0,113.0,40.8,221.0,28.2101753807726
12020646,female,64,157.0,63.0,17.0,105.0,40.1,112.0,27.527186905585744
13611443,male,34,185.0,93.0,20.0,99.0,40.3,108.0,29.54596712684115
16383525,male,63,204.0,112.0,29.0,110.0,40.4,257.0,0.883154425128744
17841776,male,44,194.0,87.0,27.0,108.0,40.8,192.0,12.074267777849569
10735479,male,36,190.0,96.0,17.0,90.0,40.3,72.0,-6.098890638340362
13117699,male,41,173.0,71.0,28.0,104.0,41.2,169.0,-3.665464236270168
